Product Name,Brand,Rating,Reviews,Price,Primary Category,Secondary Category
Liquid Gold Midnight Reboot Serum with 14% Glycolic Acid and Tripeptide-5,Alpha-H,5,16,105,Skincare,Treatments
Beauty Sleep Power Peel Age-Defying Night Peel,Alpha-H,4.6,15,106,Skincare,Treatments
Triple Action Cleanser,Alpha-H,4.25,12,38,Skincare,Cleansers
Melt Moisturizer with Bakuchiol and Squalane,alpyn beauty,4.514,465,60,Skincare,Moisturizers
Wild Huckleberry 8-Acid Polishing Peel Mask,alpyn beauty,4.6801,347,56,Skincare,Masks
Wild Nettle & Niacinamide Instant Firming Serum,alpyn beauty,4.7631,287,58,Skincare,Treatments
Line-Filling Eye Cream with Bakuchiol and Caffeine,alpyn beauty,4.3206,262,62,Skincare,Eye Care
Juneberry & Collagen Hydrating Cold Cream Cleanser,alpyn beauty,4.895,238,39,Skincare,Cleansers
Triple Vitamin C Brightening Bounce Cream Moisturizer,alpyn beauty,4.5422,225,49,Skincare,Moisturizers
Creamy Bubbling Cleanser with Vitamin C & AHAs,alpyn beauty,4.3832,167,36,Skincare,Cleansers
Vitamin C & Bearberry Instant Glow Serum,alpyn beauty,4.503,167,59,Skincare,Treatments
Willow & Sweet Agave Plumping Lip Mask,alpyn beauty,4.5405,148,28,Skincare,Lip Balms & Treatments
Pore Perfecting Liquid Exfoliator with 2% BHA + Borage,alpyn beauty,4.9231,91,39,Skincare,Cleansers
Mini Melt Moisturizer with Bakuchiol and Squalane,alpyn beauty,4.5806,31,25,Skincare,Moisturizers
Mini Wild Huckleberry 8-Acid Polishing Peel Mask,alpyn beauty,4.85,20,23,Mini Size,Skincare
Peel and Plump Skin-Smoothing Duo,alpyn beauty,4.8889,18,49,Skincare,Value & Gift Sets
CAVIAR Anti-Aging Replenishing Moisture CC Cream,ALTERNA Haircare,4.0232,1721,30,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Replenishing Moisture Shampoo,ALTERNA Haircare,4.2482,963,35,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Replenishing Moisture Conditioner,ALTERNA Haircare,4.4528,890,55,Hair,Shampoo & Conditioner
Caviar Anti-Aging Clinical Densifying Scalp Treatment,ALTERNA Haircare,4.0124,242,38,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Multiplying Volume Styling Mist,ALTERNA Haircare,4.2685,391,30,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Smoothing Anti-Frizz Dry Oil Mist,ALTERNA Haircare,4.3662,213,34,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Working Hairspray,ALTERNA Haircare,4.4268,157,26,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Smoothing Anti-Frizz Blowout Butter,ALTERNA Haircare,4.1298,208,35,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Clinical Densifying Shampoo,ALTERNA Haircare,4.1325,166,34,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Smoothing Anti-Frizz Nourishing Oil,ALTERNA Haircare,4.0615,130,38,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Clinical Densifying Styling Mousse,ALTERNA Haircare,4.5164,122,38,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Restructuring Bond Repair Leave-In Heat Protection Spray,ALTERNA Haircare,4.1513,119,32,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Multiplying Volume Shampoo,ALTERNA Haircare,3.9127,126,35,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Rapid Blowout Balm,ALTERNA Haircare,4.6927,192,32,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Restructuring Bond Repair 3-in-1 Sealing Serum,ALTERNA Haircare,4.0101,199,38,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Replenishing Moisture Leave-In Smoothing Gelee,ALTERNA Haircare,4.1863,102,30,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Restructuring Bond Repair Leave-In Overnight Serum,ALTERNA Haircare,4.3761,452,40,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Perfect Iron Spray,ALTERNA Haircare,4.195,159,32,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Multiplying Volume Conditioner,ALTERNA Haircare,4.1471,102,36,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Replenishing Moisture Masque,ALTERNA Haircare,3.9368,95,45,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Infinite Color Hold Dual-Use Serum,ALTERNA Haircare,4.5957,94,36,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Replenishing Moisture Priming Leave-In Conditioner,ALTERNA Haircare,4.4488,205,32,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Multiplying Volume Styling Mousse,ALTERNA Haircare,4.2381,21,32,Hair,Hair Styling & Treatments
Caviar Anti-Aging Smoothing Anti-Frizz Air-Dry Balm,ALTERNA Haircare,4.1563,64,32,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Restructuring Bond Repair Leave-In Protein Cream,ALTERNA Haircare,3.3333,18,37,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Infinite Color Hold Shampoo,ALTERNA Haircare,4.0833,36,35,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Smoothing Anti-Frizz Shampoo,ALTERNA Haircare,4.3879,116,35,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Perfect Texture Spray,ALTERNA Haircare,4.5281,89,30,Hair,Hair Styling & Treatments
CAVIAR Anti-Aging Smoothing Anti-Frizz Conditioner,ALTERNA Haircare,4.1518,112,36,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Infinite Color Hold Conditioner,ALTERNA Haircare,4,20,36,Hair,Shampoo & Conditioner
Restructuring Bond Repair Masque,ALTERNA Haircare,4.871,31,50,Hair,Hair Styling & Treatments
Alterna Haircare Caviar Anti-Aging Clinical Densifying Shampoo,ALTERNA Haircare,4.4203,69,38,Hair,Shampoo & Conditioner
Renewing Exfoliating Scalp Scrub-to-Foam,ALTERNA Haircare,4.8615,65,48,Hair,Hair Styling & Treatments
Replenishing Moisture Jumbo Trio,ALTERNA Haircare,3.6667,3,100,Hair,Value & Gift Sets
My Hair My Canvas  Meltaway No-Rinse Micellar Cleanser,ALTERNA Haircare,3.7903,124,29,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Restructuring Bond Repair Conditioner,ALTERNA Haircare,4.963,27,56,Hair,Shampoo & Conditioner
Alterna Haircare Caviar Anti-Aging Clinical Densifying Foam Conditioner,ALTERNA Haircare,4.5606,66,38,Hair,Shampoo & Conditioner
MHMC New Beginnings Exfoliating Cleanser,ALTERNA Haircare,4.189,164,30,Hair,Shampoo & Conditioner
CAVIAR Anti-Aging Restructuring Bond Repair Shampoo,ALTERNA Haircare,4.6286,35,35,Hair,Shampoo & Conditioner
Renewing Scalp Leave-In Treatment with Hemp,ALTERNA Haircare,4.8226,62,48,Hair,Hair Styling & Treatments
Renewing Scalp Care Peppermint Leave-In Treatment,ALTERNA Haircare,4.5938,64,48,Hair,Hair Styling & Treatments
My Hair My Canvas Me Time Every Day Shampoo,ALTERNA Haircare,4.225,160,28,Hair,Shampoo & Conditioner
My Hair My Canvas  Me Time Everyday Conditioner,ALTERNA Haircare,4.2628,156,28,Hair,Shampoo & Conditioner
My Hair My Canvas  Cool Hydrations Nourishing Masque,ALTERNA Haircare,4.0569,123,35,Hair,Hair Styling & Treatments
Clinical Densifying Styling Mousse,ALTERNA Haircare,,,38,Hair,Hair Styling & Treatments
Lip Treatment Oil,Ami Colé,4.7053,95,20,Makeup,Lip
Skin-Enhancing Tinted Moisturizer,Ami Colé,4.8966,58,32,Makeup,Face
Lash-Amplifying Volumizing & Lengthening Mascara,Ami Colé,4.1842,38,19,Makeup,Eye
Skin Melt Talc-Free Loose Setting Powder,Ami Colé,4.5714,21,22,Makeup,Face
Light-Catching Highlighter Balm,Ami Colé,4.75,8,22,Makeup,Face
Skin-Enhancing Concealer,Ami Colé,4.6429,14,24,Makeup,Face
Ultra-Flex Clear Eyebrow Shaping Gel,Ami Colé,4.8889,9,20,Makeup,Eye
Desert Date Cream Blush & Lip Multistick,Ami Colé,5,4,22,Makeup,Cheek
"The Customizable Crew Set: Highlighter, Lip Oil, and Skin Tint Set",Ami Colé,4.5,2,60,Makeup,Face
Soulfood Nourishing Hair Mask,amika,4.4028,1621,32,Hair,Hair Styling & Treatments
Perk Up Talc-Free Dry Shampoo,amika,4.4057,2179,28,Hair,Hair Styling & Treatments
Dream Routine Overnight Hydrating Hair Mask,amika,4.5027,561,32,Hair,Hair Styling & Treatments
Mini Soulfood Nourishing Mask,amika,4.0766,235,18,Mini Size,Hair
The Kure Intense Bond Repair Hair Mask,amika,4.5346,159,40,Hair,Hair Styling & Treatments
Hydro Rush Intense Moisture Leave-In Conditioner with Hyaluronic Acid,amika,4.6388,335,28,Hair,Hair Styling & Treatments
Un.Done Volume and Matte Texture Spray,amika,4.2243,749,29,Hair,Hair Styling & Treatments
High Tide Deep Wave Hair Crimper,amika,4,176,120,Hair,Tools
The Kure Bond Repair Conditioner for Damaged Hair,amika,4.3292,161,28,Hair,Shampoo & Conditioner
Good Vibes Only + Hydration + Repair Hair Mask Set,amika,5,17,39,Hair,Value & Gift Sets
The Closer Instant Split-end Hair Repair Cream,amika,4.3739,115,28,Hair,Hair Styling & Treatments
Hair Blow Dryer Brush 2.0,amika,3.28,125,100,Hair,Tools
Bust Your Brass Cool Blonde Purple Intense Repair Hair Mask,amika,4.5556,144,40,Hair,Hair Styling & Treatments
Normcore Sulfate Free Shampoo,amika,3.3309,139,23,Hair,Shampoo & Conditioner
Flash Instant Shine Hair Gloss Mask,amika,4.4352,108,28,Hair,Hair Styling & Treatments
Plus Size Volume & Body Mousse,amika,4.2588,85,30,Hair,Hair Styling & Treatments
Normcore Hydrating Conditioner,amika,3.6875,64,23,Hair,Shampoo & Conditioner
Curl Corps Curl Defining Cream,amika,4.1951,82,28,Hair,Hair Styling & Treatments
The Wizard Detangling Hair Primer,amika,4.3538,65,29,Hair,Hair Styling & Treatments
Mini Un.Done Volume and Matte Texture Spray,amika,3.9412,17,10,Mini Size,Hair
Water Sign Hydrating Hair Oil with Hyaluronic Acid,amika,3.8,45,32,Hair,Hair Styling & Treatments
Perk Up Plus Extended Clean Dry Shampoo,amika,3.8358,67,30,Hair,Hair Styling & Treatments
Velveteen Dream Anti-Frizz Smoothing Conditioner,amika,3.62,50,28,Hair,Shampoo & Conditioner
Hydro Rush Intense Moisture Shampoo with Hyaluronic Acid,amika,3.8838,198,26,Hair,Shampoo & Conditioner
Polished Perfection Thermal Straightening Brush 2.0,amika,3.9502,201,98,Hair,Tools
Curl Corps Curl Enhancing Hair Gel,amika,4.2192,73,28,Hair,Hair Styling & Treatments
Top Gloss Hair Shine Spray,amika,4.16,25,29,Hair,Hair Styling & Treatments
The Kure Multi-Task Repair Treatment,amika,4.6923,52,30,Hair,Hair Styling & Treatments
Hydro Rush Intense Moisture Conditioner with Hyaluronic Acid,amika,3.9158,190,26,Hair,Shampoo & Conditioner
Vault Sulfate Free Shampoo for Color-Treated Hair,amika,3.5507,69,23,Hair,Shampoo & Conditioner
Brooklyn Bombshell Blowout Spray,amika,3.8214,28,28,Hair,Hair Styling & Treatments
Bust Your Brass Blonde Purple Conditioner,amika,4.2941,51,28,Hair,Shampoo & Conditioner
The Kure Bond Repair Shampoo for Damaged Hair,amika,4.2951,61,28,Hair,Shampoo & Conditioner
Hydro Rush and Dream Routine Hair Hydration Set,amika,3.625,16,58,Hair,Value & Gift Sets
Vault Conditioner for Color-Treated Hair,amika,3.6429,42,23,Hair,Shampoo & Conditioner
Fadeblock Pre-Shampoo Color Seal,amika,4.3033,122,26,Hair,Hair Styling & Treatments
Power Hour Curl Refreshing Spray,amika,3.4,10,28,Hair,Hair Styling & Treatments
Reset Exfoliating Jelly Scalp Scrub,amika,4.4,10,28,Hair,Hair Styling & Treatments
Double Agent 2-in-1 Straightening Blow Dryer Brush,amika,4.3103,116,120,Hair,Tools
3D Volume and Thickening Shampoo,amika,3.4615,13,26,Hair,Shampoo & Conditioner
3D Daily Leave-In Hair Thickening Treatment,amika,4.6667,3,38,Hair,Hair Styling & Treatments
High Tide Deep Waver Jumbo,amika,4.4318,44,120,Hair,Tools
Mini Perk Up Talc-Free Dry Shampoo,amika,3.4286,7,15,Hair,Hair Styling & Treatments
Mini Perk Up Plus Extended Clean Dry Shampoo,amika,4.375,8,16,Hair,Hair Styling & Treatments
Illuminati Diamond Ceramic Flat Iron,amika,3.5172,29,120,Hair,Tools
Bust Your Brass Blonde Purple Shampoo,amika,4.1053,19,28,Hair,Shampoo & Conditioner
The Conductor 1 Inch Precision Germanium Flat Iron,amika,3.0526,38,150,Hair,Tools
The CEO 360° Lightweight Powerhouse Hair Dryer,amika,4.3214,28,200,Hair,Tools
3D Volume and Thickening Conditioner,amika,2.3333,9,40,Hair,Shampoo & Conditioner
Brow Wiz Ultra-Slim Precision Brow Pencil,Anastasia Beverly Hills,4.4056,15885,25,Makeup,Eye
"DIPBROW Waterproof, Smudge Proof Brow Pomade",Anastasia Beverly Hills,4.6701,11158,21,Makeup,Eye
Eye Shadow Singles,Anastasia Beverly Hills,4.4696,790,12,Makeup,Eye
Liquid Lipstick,Anastasia Beverly Hills,3.8268,4238,20,Makeup,Lip
Modern Renaissance Eye Shadow Palette,Anastasia Beverly Hills,4.7931,9133,45,Makeup,Eye
Soft Glam Eyeshadow Palette,Anastasia Beverly Hills,4.7068,2858,45,Makeup,Eye
Contour Kit,Anastasia Beverly Hills,4.0975,2399,40,Makeup,Face
Brow Definer 3-in-1 Triangle Tip,Anastasia Beverly Hills,4.0746,4127,26,Makeup,Eye
Lip Gloss,Anastasia Beverly Hills,4.4551,1672,16,Makeup,Lip
Sun Dipped Glow Kit,Anastasia Beverly Hills,4.7197,2176,40,Makeup,Face
Strong Hold Clear Brow Gel,Anastasia Beverly Hills,4.4206,4826,22,Makeup,Eye
Ombre Effect Long Wearing Brow Powder Duo,Anastasia Beverly Hills,4.695,5086,23,Makeup,Eye
Brow Freeze Extreme Hold Laminated-Look Sculpting Wax,Anastasia Beverly Hills,3.9071,2293,23,Makeup,Eye
Brush 12 Precision Brow Brush for Pomades & Gels,Anastasia Beverly Hills,4.7427,1551,18,Makeup,Brushes & Applicators
Sugar Glow Kit,Anastasia Beverly Hills,4.6467,917,40,Makeup,Face
Mini Strong Hold Clear Brow Gel,Anastasia Beverly Hills,4.1889,90,9,Makeup,Eye
Brush 7B Precision Brow Brush for Powders,Anastasia Beverly Hills,4.6818,1122,18,Makeup,Brushes & Applicators
Stick Foundation,Anastasia Beverly Hills,3.4315,1868,25,Makeup,Face
Norvina False Lashes,Anastasia Beverly Hills,4.259,749,12,Makeup,Eye
Tinted Brow Gel,Anastasia Beverly Hills,4.1864,2640,22,Makeup,Eye
DIPBROW Gel,Anastasia Beverly Hills,3.7853,1076,20,Makeup,Eye
Matte & Satin Velvet Lipstick,Anastasia Beverly Hills,4.6062,1427,23,Makeup,Lip
Blush Trio,Anastasia Beverly Hills,4.6617,470,30,Makeup,Cheek
Pro Pencil,Anastasia Beverly Hills,4.0611,360,18,Makeup,Eye
DIPBROW Gel - Mini,Anastasia Beverly Hills,3.3403,573,9,Makeup,Eye
Luminous Foundation,Anastasia Beverly Hills,4.1304,1902,38,Makeup,Face
Perfect Brow Pencil,Anastasia Beverly Hills,4.4411,2156,23,Makeup,Eye
Lip Liner,Anastasia Beverly Hills,4.6577,1335,18,Makeup,Lip
Norvina Pro Pigment Palette Vol. 3 for Face & Body,Anastasia Beverly Hills,4.601,193,60,Makeup,Makeup Palettes
Superfine Micro-Stroking Detail Brow Pen,Anastasia Beverly Hills,3.9654,866,22,Makeup,Eye
Dewy Set Setting Spray,Anastasia Beverly Hills,4.2373,316,26,Makeup,Face
Norvina Pro Pigment Palette Vol. 1 for Face & Body,Anastasia Beverly Hills,4.7151,179,60,Makeup,Makeup Palettes
Mini Soft Glam II Eye Shadow Palette,Anastasia Beverly Hills,4.3553,76,29,Makeup,Eye
Brush #14,Anastasia Beverly Hills,4.3528,326,18,Makeup,Brushes & Applicators
Powder Bronzer,Anastasia Beverly Hills,4.5012,433,28,Makeup,Cheek
A23 Pro Brush – Large Tapered Blending Brush,Anastasia Beverly Hills,4.0303,330,25,Makeup,Brushes & Applicators
Stick Cream Blush,Anastasia Beverly Hills,4.6228,729,32,Makeup,Cheek
Norvina Pro Pigment Palette Vol. 2 for Face & Body,Anastasia Beverly Hills,4.5,116,60,Makeup,Makeup Palettes
